Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
BME 198A (Section 01),46807,In Person,Senior Design Project I,GE: S,2.0,LEC,F,08:30AM-09:15AM,Kevin Maguire,ENG339,08/21/23-12/06/23,16,,2023,Fall
BME 198A (Section 02),46809,In Person,Senior Design Project I,GE: S,2.0,LEC,F,08:30AM-09:15AM,Kathy Le,ENG329,08/21/23-12/06/23,27,,2023,Fall
BME 198A (Section 03),46808,In Person,Senior Design Project I,GE: S,2.0,LAB,F,09:30AM-12:15PM,Kevin Maguire,ENG339,08/21/23-12/06/23,16,,2023,Fall
BME 198A (Section 04),46810,In Person,Senior Design Project I,GE: S,2.0,LAB,F,09:30AM-12:15PM,Kathy Le,ENG329,08/21/23-12/06/23,27,,2023,Fall
BME 207 (Section 01),43171,In Person,Experimental Methods in BME,,3.0,LEC,TR,05:00PM-05:50PM,Stefanie Harvey,CL222,08/21/23-12/06/23,17,,2023,Fall
BME 207 (Section 02),43174,In Person,Experimental Methods in BME,,0,LAB,S,09:00AM-11:45AM,Staff,ENG221,08/21/23-12/06/23,2,,2023,Fall
BME 207 (Section 03),43175,In Person,Experimental Methods in BME,,0,LAB,F,12:00PM-02:45PM,Alex Martin-Ginnold,ENG233C,08/21/23-12/06/23,0,,2023,Fall
BME 25 (Section 01),44884,In Person,Introduction to Biomedical Engineering Design,,2.0,LEC,M,06:00PM-07:45PM,Jacques Ginestet Araki,ENG189,08/21/23-12/06/23,31,,2023,Fall
BME 254 (Section 01),48560,Fully Online,Microscale Biomedical Systems: Physics and Applications,,3.0,LEC,TR,06:00PM-07:15PM,Melinda Simon,ONLINE,08/21/23-12/06/23,20,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
BME 274 (Section 02),50100,In Person,"Regulatory, Clinical and Manufacturing Aspects of Medical Devices",GWAR,3.0,SEM,MW,06:00PM-07:15PM,Kevin Maguire,CL302,08/21/23-12/06/23,4,,2023,Fall
BME 276 (Section 01),44613,In Person,Project Management in Biomedical Technologies,,3.0,LEC,MW,07:30PM-08:45PM,Derrick Richardson,CL202,08/21/23-12/06/23,19,,2023,Fall
BME 280 (Section 01),44270,In Person,Graduate Research Studies,,1.0,SEM,TBA,TBA,Alessandro Bellofiore,,08/21/23-12/06/23,45,,2023,Fall
BME 280 (Section 02),44271,In Person,Graduate Research Studies,,2.0,SEM,TBA,TBA,Alessandro Bellofiore,,08/21/23-12/06/23,46,,2023,Fall
BME 280 (Section 03),44272,In Person,Graduate Research Studies,,3.0,SEM,TBA,TBA,Alessandro Bellofiore,,08/21/23-12/06/23,47,,2023,Fall
BME 291 (Section 01),48565,In Person,MS Thesis/Project Preparation Seminar,,3.0,LEC,F,06:00PM-08:45PM,Stefanie Harvey,CL202,08/21/23-12/06/23,30,,2023,Fall
BME 298 (Section 01),48568,In Person,MS Project,,3.0,LEC,F,06:00PM-08:45PM,Ashkan Aryaei,ENG341,08/21/23-12/06/23,32,,2023,Fall
BME 299 (Section 01),42621,In Person,MS Thesis,,3.0,LEC,F,06:00PM-08:45PM,Ashkan Aryaei,ENG343,08/21/23-12/06/23,44,,2023,Fall
BME 68 (Section 01),44885,In Person,Biomedical Applications of Metals and Ceramics,,3.0,LEC,MW,03:00PM-04:15PM,Charles Deng,ENG331,08/21/23-12/06/23,12,,2023,Fall
BOT 160 (Section 01),49391,In Person,Ecology,GE: R,4.0,LEC,TR,10:30AM-11:45AM,Fredrick Larabee,DH351,08/21/23-12/06/23,39,,2023,Fall
