Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
KIN 153 (Section 01),44298,In Person,Sport Facility and Event Management,,3.0,LEC,TR,12:00PM-01:15PM,Vonn Taylor,SH242,08/21/23-12/06/23,7,,2023,Fall
KIN 154B (Section 01),42350,In Person,ECG Interpretations and Graded Exercise Testing,,3.0,LEC,MW,09:30AM-10:20AM,Peggy Plato,YUH233,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 154B (Section 02),42351,In Person,ECG Interpretations and Graded Exercise Testing,,3.0,ACT,MW,10:30AM-11:20AM,Peggy Plato,YUH233,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 155 (Section 01),40786,In Person,Exercise Physiology,,3.0,LEC,MW,09:30AM-10:20AM,Craig Cisar,YUH124,08/21/23-12/06/23,2,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 155 (Section 02),40787,In Person,Exercise Physiology,,0,ACT,M,07:30AM-09:20AM,Craig Cisar,YUH233,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 155 (Section 03),40788,In Person,Exercise Physiology,,0,ACT,W,07:30AM-09:20AM,Craig Cisar,YUH233,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 155 (Section 04),40789,In Person,Exercise Physiology,,0,ACT,T,07:30AM-09:20AM,Craig Cisar,YUH233,08/21/23-12/06/23,2,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 155 (Section 08),50109,In Person,Exercise Physiology,,0,ACT,M,12:30PM-02:20PM,Craig Cisar,YUH233,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 155 (Section 09),50110,In Person,Exercise Physiology,,0,ACT,W,12:30PM-02:20PM,Craig Cisar,YUH233,08/21/23-12/06/23,1,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 156 (Section 01),45800,Hybrid,Introduction to Adapted Physical Activity,,3.0,LEC,R,,,,,,,2023,Fall
TBA,R,,,,,,,,,,,,,2023,Fall
TBA,Jihyun Lee / Jihyun Lee,SPXC151,,,,,,,,,,,,2023,Fall
KIN 156 (Section 02),45801,In Person,Introduction to Adapted Physical Activity,,0,LAB,R,06:00PM-07:50PM,Jihyun Lee,SPXC107A,08/21/23-12/06/23,0,,2023,Fall
KIN 157 (Section 03),45804,In Person,Physiological Assessment,,0,LAB,TR,10:00AM-11:50AM,Alev Tug,YUH233,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 157 (Section 04),45805,In Person,Physiological Assessment,,0,LAB,TR,02:30PM-04:20PM,Alev Tug,YUH233,08/21/23-12/06/23,2,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 157 (Section 05),45807,In Person,Physiological Assessment,,0,LAB,TR,04:30PM-06:20PM,Alev Tug,YUH233,08/21/23-12/06/23,1,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 157 (Section 06),50111,In Person,Physiological Assessment,,0,LAB,MW,02:30PM-04:20PM,Farzaneh Ghiasvand,YUH233,08/21/23-12/06/23,2,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 157 (Section 07),50385,In Person,Physiological Assessment,,0,LAB,F,09:30AM-01:20PM,Marcos Cepin,YUH233,08/21/23-12/06/23,8,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 157 (Section 80),46849,Fully Online,Physiological Assessment,,3.0,LEC,R,08:00AM-08:50AM,Peggy Plato,ONLINE,08/21/23-12/06/23,13,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 158 (Section 01),40722,In Person,Biomechanics,,3.0,LEC,MW,08:00AM-08:50AM,Li Jin,YUH124,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 158 (Section 02),41669,In Person,Biomechanics,,3.0,ACT,M,10:00AM-11:50AM,Li Jin,SPXC234,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 158 (Section 03),41670,In Person,Biomechanics,,3.0,ACT,W,10:00AM-11:50AM,Li Jin,SPXC234,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 158 (Section 04),41671,In Person,Biomechanics,,3.0,ACT,T,08:00AM-09:50AM,Adriane Cris Tomimbang,YUH128,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 158 (Section 05),43413,In Person,Biomechanics,,3.0,ACT,R,08:00AM-09:50AM,Adriane Cris Tomimbang,YUH128,08/21/23-12/06/23,1,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 158 (Section 06),45993,In Person,Biomechanics,,3.0,ACT,T,03:30PM-05:20PM,Adriane Cris Tomimbang,YUH128,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 158 (Section 08),48725,In Person,Biomechanics,,3.0,ACT,T,10:00AM-11:50AM,Yang Hu,YUH128,08/21/23-12/06/23,3,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
