Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
BIOL 180 (Section 17),44360,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Kate Wilkin,,08/21/23-12/06/23,0,RO - Not available to Open University students.,2023,Fall
BIOL 180 (Section 18),44361,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Bree Grillo-Hill,,08/21/23-12/06/23,0,RO - Not available to Open University students.,2023,Fall
BIOL 180 (Section 19),44427,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Miri Vanhoven,,08/21/23-12/06/23,11,,2023,Fall
BIOL 180 (Section 20),44428,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Kumar Vishal,,08/21/23-12/06/23,2,,2023,Fall
BIOL 180 (Section 21),42721,In Person,Individual Studies,,2.0,SUP,TBA,TBA,David Ensminger,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 22),42722,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Leila Khatib,,08/21/23-12/06/23,13,,2023,Fall
BIOL 180 (Section 23),42723,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Fredrick Larabee,,08/21/23-12/06/23,13,,2023,Fall
BIOL 180 (Section 24),42724,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Alexander Payumo,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 25),42725,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Scott Shaffer,,08/21/23-12/06/23,14,,2023,Fall
BIOL 180 (Section 26),42726,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Maya Devries,,08/21/23-12/06/23,13,,2023,Fall
BIOL 180 (Section 27),42727,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Walter Adams,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 28),42728,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Cleber Ouverney,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 29),42729,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Susan Lambrecht,,08/21/23-12/06/23,13,,2023,Fall
BIOL 180 (Section 30),42730,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Frank Huynh,,08/21/23-12/06/23,14,,2023,Fall
BIOL 180 (Section 31),42731,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Rachael French,,08/21/23-12/06/23,14,,2023,Fall
BIOL 180 (Section 32),42732,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Melissa Pickett,,08/21/23-12/06/23,13,,2023,Fall
BIOL 180 (Section 33),42733,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Elizabeth Skovran,,08/21/23-12/06/23,14,,2023,Fall
BIOL 180 (Section 34),42734,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Kate Wilkin,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 35),42735,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Bree Grillo-Hill,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 36),42736,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Jessica Castillo Vardaro,,08/21/23-12/06/23,14,,2023,Fall
BIOL 180 (Section 37),44677,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,1,RO - Not available to Open University students.,2023,Fall
BIOL 180 (Section 38),44678,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,1,RO - Not available to Open University students.,2023,Fall
BIOL 180 (Section 41),42737,In Person,Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 42),42738,In Person,Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 43),42739,In Person,Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 44),42740,In Person,Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 45),42741,In Person,Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 46),42742,In Person,Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 51),42743,In Person,Individual Studies,,4.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 52),42744,In Person,Individual Studies,,4.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 53),42745,In Person,Individual Studies,,4.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 54),42746,In Person,Individual Studies,,4.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 55),42747,In Person,Individual Studies,,4.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 180 (Section 56),47098,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Theresa Dinh,,08/21/23-12/06/23,0,RO - Not available to Open University students.,2023,Fall
BIOL 180 (Section 57),47099,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,1,RO - Not available to Open University students.,2023,Fall
BIOL 180 (Section 58),47396,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,1,RO - Not available to Open University students.,2023,Fall
BIOL 181 (Section 01),41493,In Person,Introduction to Health Care,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 181 (Section 02),41735,In Person,Introduction to Health Care,,2.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 182 (Section 01),40421,In Person,Tutor Assistant in Biology,,1.0,SUP,TBA,TBA,Rosemary Hardin,,08/21/23-12/06/23,12,,2023,Fall
BIOL 182 (Section 02),40422,In Person,Tutor Assistant in Biology,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 182 (Section 03),40423,In Person,Tutor Assistant in Biology,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 182 (Section 04),40458,In Person,Tutor Assistant in Biology,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 182 (Section 05),40424,In Person,Tutor Assistant in Biology,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 182 (Section 06),40425,In Person,Tutor Assistant in Biology,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 182 (Section 07),40426,In Person,Tutor Assistant in Biology,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 182 (Section 08),40427,In Person,Tutor Assistant in Biology,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 182 (Section 09),40529,In Person,Tutor Assistant in Biology,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 182 (Section 10),40530,In Person,Tutor Assistant in Biology,,1.0,SUP,TBA,TBA,Staff,,08/21/23-12/06/23,15,,2023,Fall
BIOL 182 (Section 21),42699,In Person,Tutor Assistant in Biology,,2.0,SUP,TBA,TBA,Rosemary Hardin,,08/21/23-12/06/23,6,,2023,Fall
BIOL 182 (Section 22),42700,In Person,Tutor Assistant in Biology,,2.0,SUP,TBA,TBA,Melissa Pickett,,08/21/23-12/06/23,14,,2023,Fall
