Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
PHIL 66 (Section 05),48154,In Person,Introduction to Aesthetics,GE: C1,3.0,LEC,F,09:30AM-12:15PM,Andrew Delunas,SH241,08/21/23-12/06/23,0,,2023,Fall
PHIL 66 (Section 80),43662,Fully Online,Introduction to Aesthetics,GE: C1,3.0,LEC,TBA,TBA,Fern Alberts,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 66 (Section 81),44277,Fully Online,Introduction to Aesthetics,GE: C1,3.0,LEC,TBA,TBA,Fern Alberts,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
PHIL 70A (Section 01),43663,In Person,Ancient Philosophy,GE: C2,3.0,LEC,TR,10:30AM-11:45AM,Jason Aleksander,SH241,08/21/23-12/06/23,2,,2023,Fall
PHIL 70B (Section 01),44766,In Person,Modern Philosophy,GE: C2,3.0,LEC,MW,10:30AM-11:45AM,Étienne Brown,SH241,08/21/23-12/06/23,0,,2023,Fall
PHIL 9 (Section 01),40144,In Person,Mathematics and Logic for General Education,GE: B4,3.0,SEM,MW,09:00AM-10:15AM,Andrew Delunas,DMH208,08/21/23-12/06/23,7,,2023,Fall
PHIL 9 (Section 02),44278,In Person,Mathematics and Logic for General Education,GE: B4,3.0,SEM,MW,10:30AM-11:45AM,Andrew Delunas,DMH208,08/21/23-12/06/23,3,,2023,Fall
PHIL 9 (Section 03),44279,In Person,Mathematics and Logic for General Education,GE: B4,3.0,SEM,TR,10:30AM-11:45AM,Noah Friedman-Biglin,DMH208,08/21/23-12/06/23,5,,2023,Fall
PHIL 9W (Section 01),43356,In Person,Mathematics a Logic for General Education Workshop,,1.0,LEC,T,04:30PM-05:20PM,Casey Smith,DMH208,08/21/23-12/06/23,7,,2023,Fall
PHIL 9W (Section 02),43357,In Person,Mathematics a Logic for General Education Workshop,,1.0,LEC,F,11:30AM-12:20PM,Casey Smith,DMH208,08/21/23-12/06/23,14,,2023,Fall
PHOT 110 (Section 01),44141,In Person,Black and White Photography,,3.0,ACT,MW,03:00PM-05:50PM,Kathleen Mcdonald,DH406,08/21/23-12/06/23,14,,2023,Fall
PHOT 112 (Section 03),44345,In Person,Color Photography,,3.0,ACT,MW,12:00PM-02:50PM,Victoria Heilweil,IS219C,08/21/23-12/06/23,1,PV - Prerequisite courses required. See course description.,2023,Fall
PHOT 114 (Section 01),41599,In Person,Advanced Black and White Photography,,3.0,ACT,TR,12:00PM-02:50PM,Binh Danh,DH406,08/21/23-12/06/23,11,PV - Prerequisite courses required. See course description.,2023,Fall
PHOT 115 (Section 04),44416,In Person,Intermediate Digital Imaging,,3.0,ACT,TR,12:00PM-02:50PM,Alana Rios,IS219C,08/21/23-12/06/23,7,PV - Prerequisite courses required. See course description.,2023,Fall
PHOT 116 (Section 01),41462,In Person,Contemporary Issues in Photography,,3.0,SEM,T,08:00AM-10:50AM,Jonathan Fung,IS219C,08/21/23-12/06/23,12,PV - Prerequisite courses required. See course description.,2023,Fall
PHOT 120 (Section 01),41011,In Person,Image and Idea,,3.0,ACT,TR,03:00PM-05:50PM,Valerie Mendoza,IS219,08/21/23-12/06/23,7,PV - Prerequisite courses required. See course description.,2023,Fall
PHOT 121 (Section 04),44349,In Person,Introduction to Studio Lighting,,3.0,ACT,MW,12:00PM-02:50PM,Jonathan Fung,DH407,08/21/23-12/06/23,5,PV - Prerequisite courses required. See course description.,2023,Fall
PHOT 122 (Section 02),47713,In Person,Advanced Lighting: Working with Strobes,,3.0,ACT,F,09:30AM-03:30PM,Jesus Aguilar,DH407,08/21/23-12/06/23,9,,2023,Fall
